duration: 6 ; psi_bar: 1.5707963267948966 ; spd: 3000
time: 0 ; d_psi: 132 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 1330 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 501 ; d_psi: -157 ; rpm_l: 3510 ; rpm_r: -5280 ; rpm_lb: 3000 ; rpm_rb: 1025 ; th_l: 21 ; th_r: 23
time: 1008 ; d_psi: 132 ; rpm_l: 3930 ; rpm_r: -3180 ; rpm_lb: 1330 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 1515 ; d_psi: 143 ; rpm_l: 2400 ; rpm_r: -2490 ; rpm_lb: 1180 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 2038 ; d_psi: 149 ; rpm_l: 120 ; rpm_r: -2370 ; rpm_lb: 1095 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 2542 ; d_psi: 114 ; rpm_l: 0 ; rpm_r: -2730 ; rpm_lb: 1526 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 3049 ; d_psi: 144 ; rpm_l: 690 ; rpm_r: -2940 ; rpm_lb: 1140 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 3550 ; d_psi: 135 ; rpm_l: 1050 ; rpm_r: -2970 ; rpm_lb: 1235 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 4060 ; d_psi: -111 ; rpm_l: 1260 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 1668 ; th_l: 21 ; th_r: 23
time: 4567 ; d_psi: 98 ; rpm_l: 2940 ; rpm_r: -1620 ; rpm_lb: 1698 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 5071 ; d_psi: 152 ; rpm_l: 2520 ; rpm_r: -2310 ; rpm_lb: 1019 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 5574 ; d_psi: 114 ; rpm_l: 1200 ; rpm_r: -3450 ; rpm_lb: 1481 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
duration: 6 ; psi_bar: 0.0 ; spd: 3000
time: 0 ; d_psi: 130 ; rpm_l: 1110 ; rpm_r: -2850 ; rpm_lb: 1362 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 501 ; d_psi: -43 ; rpm_l: 2820 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2466 ; th_l: 21 ; th_r: 23
time: 1010 ; d_psi: -145 ; rpm_l: 3300 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 1173 ; th_l: 21 ; th_r: 23
time: 1516 ; d_psi: 171 ; rpm_l: 3330 ; rpm_r: -810 ; rpm_lb: 850 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 2023 ; d_psi: 158 ; rpm_l: 1080 ; rpm_r: -2220 ; rpm_lb: 993 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 2534 ; d_psi: -174 ; rpm_l: 60 ; rpm_r: -3120 ; rpm_lb: 3000 ; rpm_rb: 827 ; th_l: 21 ; th_r: 23
time: 3045 ; d_psi: 121 ; rpm_l: 1920 ; rpm_r: -1080 ; rpm_lb: 1467 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 3553 ; d_psi: 138 ; rpm_l: 1830 ; rpm_r: -2355 ; rpm_lb: 1235 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 4057 ; d_psi: 163 ; rpm_l: 1290 ; rpm_r: -3285 ; rpm_lb: 916 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 4558 ; d_psi: 133 ; rpm_l: 720 ; rpm_r: -3450 ; rpm_lb: 1278 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 5068 ; d_psi: 141 ; rpm_l: 930 ; rpm_r: -3300 ; rpm_lb: 1159 ; rpm_rb: 3000 ; th_l: 21 ; th_r: 23
time: 5578 ; d_psi: -177 ; rpm_l: 1050 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 830 ; th_l: 21 ; th_r: 23
duration: 6 ; psi_bar: 1.5707963267948966 ; spd: 0
time: 0 ; d_psi: -59 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 503 ; d_psi: -48 ; rpm_l: 1980 ; rpm_r: -2340 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 1010 ; d_psi: -76 ; rpm_l: 1050 ; rpm_r: -780 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 1578 ; d_psi: -58 ; rpm_l: 30 ; rpm_r: -30 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 2080 ; d_psi: -59 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 2618 ; d_psi: -57 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 3125 ; d_psi: -52 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 3695 ; d_psi: -59 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 4206 ; d_psi: -58 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 4753 ; d_psi: -59 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 5263 ; d_psi: -52 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 5827 ; d_psi: -58 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
duration: 6 ; psi_bar: 0.0 ; spd: 0
time: 0 ; d_psi: -63 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 503 ; d_psi: 8 ; rpm_l: 1980 ; rpm_r: -2340 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 1008 ; d_psi: -59 ; rpm_l: 1020 ; rpm_r: -810 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 1573 ; d_psi: -59 ; rpm_l: 60 ; rpm_r: -30 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 2078 ; d_psi: -67 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 2629 ; d_psi: -61 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 3138 ; d_psi: -59 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 3683 ; d_psi: -59 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 4245 ; d_psi: -61 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 4747 ; d_psi: -74 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 5284 ; d_psi: -60 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
time: 5791 ; d_psi: -61 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 22 ; th_r: 24
duration: 10 ; psi_bar: 1.5707963267948966 ; spd: 3000
time: 0 ; d_psi: -97 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 3000 ; rpm_rb: 1773 ; th_l: 22 ; th_r: 24
time: 544 ; d_psi: -113 ; rpm_l: 5610 ; rpm_r: -4920 ; rpm_lb: 3000 ; rpm_rb: 1566 ; th_l: 22 ; th_r: 24
time: 1105 ; d_psi: 37 ; rpm_l: 4350 ; rpm_r: -2310 ; rpm_lb: 2540 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 1614 ; d_psi: -105 ; rpm_l: 2700 ; rpm_r: -2250 ; rpm_lb: 3000 ; rpm_rb: 1663 ; th_l: 22 ; th_r: 24
time: 2145 ; d_psi: -92 ; rpm_l: 2460 ; rpm_r: -1320 ; rpm_lb: 3000 ; rpm_rb: 1817 ; th_l: 22 ; th_r: 24
time: 2648 ; d_psi: -88 ; rpm_l: 2610 ; rpm_r: -1290 ; rpm_lb: 3000 ; rpm_rb: 1856 ; th_l: 22 ; th_r: 24
time: 3154 ; d_psi: -59 ; rpm_l: 2760 ; rpm_r: -1530 ; rpm_lb: 3000 ; rpm_rb: 2208 ; th_l: 22 ; th_r: 24
