
New mission : Follow LINE from est to nord - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 0 0 0 0 143 0 0 1165 3000 19 21 
549 0 0 0 0 0 0 152 2730 -2610 1024 3000 19 21 
1054 0 0 0 0 0 0 -127 2010 -3750 3000 1448 19 21 
1615 0 0 0 0 0 0 157 3120 -2580 950 3000 19 21 
2120 0 0 0 0 0 0 164 2160 -3270 819 3000 19 21 
2623 0 0 0 0 0 0 148 840 -3000 989 3000 19 21 
3128 0 0 0 0 0 0 140 960 -3000 1054 3000 19 21 
3680 0 0 0 0 0 0 137 1140 -2940 1056 3000 19 21 
4182 0 0 0 0 0 0 87 990 -3060 1650 3000 19 21 
4709 0 0 0 0 0 0 75 1890 -2970 1783 3000 19 21 
5214 0 0 0 0 0 0 83 1890 -2820 1664 3000 19 21 
5723 0 0 0 0 0 0 68 1590 -3210 1837 3000 19 21 
6296 0 0 0 0 0 0 78 1980 -2910 1685 3000 19 21 
6804 0 0 0 0 0 0 42 1530 -3090 2130 3000 19 21 
7327 0 0 0 0 0 0 25 2310 -2880 2330 3000 19 21 
7828 0 0 0 0 0 0 22 2460 -2880 2368 3000 19 21 
8404 0 0 0 0 0 0 26 2280 -3120 2317 3000 19 21 
8907 0 0 0 0 0 0 4 2400 -3045 2584 3000 19 21 
9415 0 0 0 0 0 0 -3 2580 -2955 2690 3000 19 21 
9918 0 0 0 0 0 0 -20 2850 -3060 2907 3000 19 21 
10471 0 0 0 0 0 0 -45 2940 -3000 3000 2766 19 21 
10972 0 0 0 0 0 0 -45 3000 -2700 3000 2766 19 21 
11543 0 0 0 0 0 0 -87 3030 -2760 3000 2217 19 21 
12053 0 0 0 0 0 0 -26 3120 -2160 3000 2967 19 21 
12624 0 0 0 0 0 0 -27 2820 -3090 3000 2951 19 21 
13126 0 0 0 0 0 0 -104 3120 -2940 3000 1956 19 21 
13680 0 0 0 0 0 0 -38 2970 -1800 3000 2777 19 21 
14181 0 0 0 0 0 0 -35 3060 -2880 3000 2807 19 21 
14728 0 0 0 0 0 0 -20 2850 -2880 3000 2984 19 21 
15290 0 0 0 0 0 0 -161 3180 -3000 3000 1180 19 21 
15799 0 0 0 0 0 0 -66 2970 -1800 3000 2353 19 21 
16330 0 0 0 0 0 0 -97 2850 -2190 3000 1943 19 21 
16833 0 0 0 0 0 0 -30 3300 -2100 3000 2775 19 21 
17407 0 0 0 0 0 0 -25 2730 -2850 3000 2824 19 21 
17913 0 0 0 0 0 0 -26 3030 -2820 3000 2804 19 21 
18469 0 0 0 0 0 0 -28 3060 -2820 3000 2776 19 21 
18969 0 0 0 0 0 0 -60 2970 -2760 3000 2368 19 21 
19470 0 0 0 0 0 0 -25 3000 -2310 3000 2795 19 21 
19971 0 0 0 0 0 0 -29 3030 -2850 3000 2731 19 21 
