
New mission : Follow POINT - duration_max: 60
time rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 0 0 11 14 
503 2100 -1890 0 0 11 14 
1005 630 -690 0 0 11 14 
1516 0 -60 0 0 11 14 
2043 0 0 0 0 11 14 
2549 0 0 0 0 11 14 
3102 0 0 0 0 11 14 
3605 0 0 0 0 11 14 
4174 0 0 0 0 11 14 
4683 0 0 0 0 11 14 
5187 0 0 0 0 11 14 
5688 0 0 0 0 11 14 
6194 0 0 0 0 11 14 
6702 0 0 0 0 11 14 
7262 0 0 0 0 11 14 
7770 0 0 0 0 11 14 
8322 0 0 0 0 11 14 
8824 0 0 0 0 11 14 
9324 0 0 0 0 11 14 
9826 0 0 0 0 11 14 
10367 0 0 0 0 11 14 
10913 0 0 0 0 11 14 
11422 0 0 0 0 11 14 

New mission : Follow POINT - duration_max: 60
time rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 -81 -172 11 13 
501 1530 -1230 40 -482 11 13 
1010 420 -360 468 -1036 11 13 
1541 420 0 1341 -1948 11 13 
2042 1770 0 2344 -2921 11 13 
2562 2670 0 -3676 3184 11 13 
3062 1560 -960 9661 -10055 11 13 
3630 2640 -60 -1305 768 11 13 
4130 1590 -600 11961 -12457 11 13 
4699 2730 0 21502 -21956 11 13 
5207 3960 0 27828 -28305 11 13 
5744 4830 0 30277 -30899 11 13 
6304 4920 0 26995 -27880 11 13 
6827 4860 0 39361 -40574 11 13 
7343 4980 0 74839 -76352 11 13 
7849 4920 0 150190 -151877 11 13 
8350 5010 0 150205 -151978 11 13 
8856 4800 0 150514 -152400 11 13 
9424 4230 0 150674 -152628 11 13 
9933 5700 0 150779 -152888 11 13 
10478 5280 0 150646 -153093 11 13 
10983 4560 0 150732 -153292 11 13 
11488 4620 0 150695 -153390 11 13 
11988 4680 0 150808 -153554 11 13 
12541 4950 0 151045 -153862 11 13 
13048 4680 0 151362 -154358 11 13 
13561 4770 0 152728 -155936 11 13 
14068 4830 0 151987 -155389 11 13 
14631 4830 0 151752 -155224 11 13 
15138 4800 0 151496 -154873 11 13 
15691 4830 0 150605 -153831 11 13 
16200 4830 0 148710 -151715 11 13 
16700 4800 0 142990 -146155 11 13 
17207 4830 0 123779 -127100 11 13 
17730 4800 0 137870 -141229 11 13 
18301 4770 0 146533 -149796 11 13 
18819 4920 0 187396 -190621 11 13 
19341 4710 0 96592 -99887 11 13 
19842 4830 0 66518 -69918 11 13 
20349 4920 0 49616 -53151 11 13 
20850 4905 0 41817 -45424 11 13 
21418 4740 0 27502 -30990 11 13 
21920 4890 0 -102583 99325 11 13 
22481 4050 -600 245643 -248663 11 13 
22982 4920 -30 483934 -486886 11 13 
23489 2610 0 671890 -674796 11 13 
23998 3630 0 819315 -822208 11 13 
24526 3570 0 971668 -974437 11 13 
25032 1080 0 2176788 -2179324 11 13 
25553 6060 0 594799 -597052 11 13 
