
New mission : Follow POINT - duration_max: 60
time psi rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 -85 0 0 0 2 31 28 
505 -71 1890 1710 0 0 31 28 
1008 -91 750 630 0 184 31 28 
1508 -87 30 60 0 384 31 28 
2013 -96 0 270 135 104 31 28 
2514 -89 30 180 628 0 31 28 
3014 -94 1110 0 172 544 31 28 
3577 -97 0 480 0 1123 31 28 
4088 -92 0 1260 0 1731 31 28 
4622 -105 0 2100 0 2301 31 28 
5181 -88 0 2370 0 2846 31 28 
5690 -75 0 2880 468 2314 31 28 
6221 -67 570 2490 855 1702 31 28 
6723 -58 1170 1590 1190 1036 31 28 
7299 -49 1200 765 523 1370 31 28 
7804 -48 90 1500 0 1750 31 28 
8366 -28 0 1890 0 2232 31 28 
8876 -30 0 2250 0 2797 31 28 
9428 -18 0 2700 634 2431 31 28 
9932 -7 900 2580 1283 2080 31 28 
10504 9 1650 2010 1879 1676 31 28 
11008 40 1980 1680 2371 1169 31 28 
11566 47 2520 960 2842 640 31 28 
12076 66 2940 420 2338 1135 31 28 
12619 72 2280 1260 1885 1682 31 28 
13170 65 1650 1950 1452 2250 31 28 
13678 88 1305 2250 1088 2885 31 28 
14214 115 945 2880 1715 2512 31 28 
14717 121 2070 2610 2266 2064 31 28 
15290 144 2490 2040 2705 1503 31 28 
15792 147 2730 1620 3072 869 31 28 
16299 151 3180 270 2404 1201 31 28 
16801 146 2310 1500 1743 1541 31 28 
17363 156 1320 1590 1142 1940 31 28 
17868 147 930 2100 614 2411 31 28 
18428 143 150 2400 664 2485 31 28 
18938 159 1170 2520 815 2594 31 28 
19503 173 600 2580 1018 2662 31 28 
20014 -154 1350 2700 1225 2511 31 28 
20514 -155 1260 2490 1719 2005 31 28 
21019 -149 1860 2010 1547 2070 31 28 
21576 -136 1530 2040 1547 1935 31 28 
22081 -129 1440 1860 1690 1712 31 28 
22623 -126 1890 1740 1889 1497 31 28 
23182 -115 1920 1410 2111 1363 31 28 
23691 -116 2160 1320 2288 1277 31 28 
24223 -135 2370 1260 2366 1242 31 28 
24725 -118 2400 1200 2148 1468 31 28 
25291 -116 2070 1590 1614 1934 31 28 
25796 -119 1350 1950 1057 2378 31 28 
26302 -120 630 2460 479 2800 31 28 
26808 -126 390 2850 907 2228 31 28 
27365 -106 1380 2250 939 2037 31 28 
27874 -103 540 2010 407 2505 31 28 
28430 -91 90 2520 927 2071 31 28 
28935 -74 1650 2070 1315 1927 31 28 
29439 -73 1170 1920 1571 1934 31 28 
29944 -49 1740 1890 1672 2045 31 28 
30504 -61 1740 2010 1683 2096 31 28 
31004 -52 1620 2070 1574 2085 31 28 
31563 -52 1560 2130 1395 1992 31 28 
32074 -40 1380 2100 1269 1763 31 28 
32609 -35 1110 1620 1252 1445 31 28 
33171 -35 1290 1410 1348 1117 31 28 
33680 -22 1440 990 1631 798 31 28 
34211 -23 1740 600 1856 696 31 28 
34714 -30 1950 660 2069 733 31 28 
35289 -27 2130 765 2117 1002 31 28 
