
New mission : Follow LINE from ponton to eval - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 0 0 0 0 -14 0 0 3000 2816 20 22 
504 0 0 0 0 0 0 -35 2940 -3090 3000 2544 20 22 
1005 0 0 0 0 0 0 -46 2970 -2640 3000 2400 20 22 
1506 0 0 0 0 0 0 -65 3270 -2520 3000 2136 20 22 
2008 0 0 0 0 0 0 -62 2910 -2040 3000 2157 20 22 
2509 0 0 0 0 0 0 -67 2970 -2130 3000 2083 20 22 
3011 0 0 0 0 0 0 -35 3150 -2160 3000 2470 20 22 
3516 0 0 0 0 0 0 -45 3000 -2550 3000 2339 20 22 
4019 0 0 0 0 0 0 -106 2880 -2370 3000 1546 20 22 
4521 0 0 0 0 0 0 -46 3060 -1320 3000 2283 20 22 
5067 0 0 0 0 0 0 -72 3000 -2370 3000 1938 20 22 
5578 0 0 0 0 0 0 -50 3180 -2010 3000 2210 20 22 
6134 0 0 0 0 0 0 -66 2790 -2220 3000 1986 20 22 
6639 0 0 0 0 0 0 -78 3030 -1920 3000 1815 20 22 
7165 0 0 0 0 0 0 -37 2970 -1770 3000 2326 20 22 
7743 0 0 0 0 0 0 -33 3180 -2430 3000 2366 20 22 
8253 0 0 0 0 0 0 -36 2880 -2370 3000 2318 20 22 
8784 0 0 0 0 0 0 -53 2910 -2190 3000 2096 20 22 
9288 0 0 0 0 0 0 -50 3150 -2220 3000 2111 20 22 
9863 0 0 0 0 0 0 -40 2970 -2100 3000 2233 20 22 
10370 0 0 0 0 0 0 -35 2880 -2160 3000 2287 20 22 
10872 0 0 0 0 0 0 -11 3120 -2280 3000 2583 20 22 
11379 0 0 0 0 0 0 -22 3000 -2670 3000 2436 20 22 
11931 0 0 0 0 0 0 -14 2910 -2490 3000 2533 20 22 
12436 0 0 0 0 0 0 0 3030 -2430 3000 2711 20 22 
12996 0 0 0 0 0 0 -9 3030 -2910 3000 2596 20 22 
13497 0 0 0 0 0 0 -13 2970 -2490 3000 2537 20 22 
14069 0 0 0 0 0 0 0 2940 -2460 3000 2710 20 22 
14573 0 0 0 0 0 0 20 3090 -2790 3000 2975 20 22 
15134 0 0 0 0 0 0 1 2970 -2970 3000 2732 20 22 
15637 0 0 0 0 0 0 -1 2970 -2790 3000 2693 20 22 
16142 0 0 0 0 0 0 3 3030 -2610 3000 2763 20 22 
16644 0 0 0 0 0 0 -7 3000 -2820 3000 2627 20 22 
