duration: 40 ; psi_bar: 90 ; spd: 3000
time: 0 ; d_psi: 32 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 2590 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 502 ; d_psi: 26 ; rpm_l: 2940 ; rpm_r: -3150 ; rpm_lb: 2662 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 1006 ; d_psi: -43 ; rpm_l: 3540 ; rpm_r: -3750 ; rpm_lb: 3000 ; rpm_rb: 2459 ; th_l: 22 ; th_r: 24
time: 1507 ; d_psi: 43 ; rpm_l: 3930 ; rpm_r: -3960 ; rpm_lb: 2451 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 2009 ; d_psi: 74 ; rpm_l: 3360 ; rpm_r: -3780 ; rpm_lb: 2053 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 2541 ; d_psi: 43 ; rpm_l: 2790 ; rpm_r: -3510 ; rpm_lb: 2436 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3047 ; d_psi: 35 ; rpm_l: 2400 ; rpm_r: -3150 ; rpm_lb: 2540 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3615 ; d_psi: 35 ; rpm_l: 2190 ; rpm_r: -2880 ; rpm_lb: 2529 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 4118 ; d_psi: 9 ; rpm_l: 2190 ; rpm_r: -2790 ; rpm_lb: 2864 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 4686 ; d_psi: -36 ; rpm_l: 2370 ; rpm_r: -2730 ; rpm_lb: 3000 ; rpm_rb: 2566 ; th_l: 22 ; th_r: 24
time: 5187 ; d_psi: -167 ; rpm_l: 2670 ; rpm_r: -2490 ; rpm_lb: 3000 ; rpm_rb: 914 ; th_l: 22 ; th_r: 24
time: 5687 ; d_psi: 0 ; rpm_l: 2910 ; rpm_r: -1500 ; rpm_lb: 3000 ; rpm_rb: 2997 ; th_l: 22 ; th_r: 24
time: 6188 ; d_psi: 6 ; rpm_l: 3210 ; rpm_r: -1830 ; rpm_lb: 2909 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 6690 ; d_psi: 133 ; rpm_l: 3210 ; rpm_r: -2370 ; rpm_lb: 1310 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 7191 ; d_psi: -8 ; rpm_l: 2190 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2905 ; th_l: 22 ; th_r: 24
time: 7753 ; d_psi: 31 ; rpm_l: 2430 ; rpm_r: -3225 ; rpm_lb: 2585 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 8254 ; d_psi: -24 ; rpm_l: 2400 ; rpm_r: -3270 ; rpm_lb: 3000 ; rpm_rb: 2707 ; th_l: 22 ; th_r: 24
time: 8760 ; d_psi: 23 ; rpm_l: 2610 ; rpm_r: -3090 ; rpm_lb: 2691 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 9262 ; d_psi: -127 ; rpm_l: 2670 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 1408 ; th_l: 22 ; th_r: 24
time: 9815 ; d_psi: -14 ; rpm_l: 3030 ; rpm_r: -2160 ; rpm_lb: 3000 ; rpm_rb: 2828 ; th_l: 22 ; th_r: 24
time: 10371 ; d_psi: -172 ; rpm_l: 3090 ; rpm_r: -2190 ; rpm_lb: 3000 ; rpm_rb: 834 ; th_l: 22 ; th_r: 24
time: 10904 ; d_psi: 24 ; rpm_l: 3180 ; rpm_r: -1200 ; rpm_lb: 2706 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 11480 ; d_psi: 54 ; rpm_l: 3000 ; rpm_r: -1830 ; rpm_lb: 2314 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 11990 ; d_psi: -72 ; rpm_l: 2520 ; rpm_r: -2370 ; rpm_lb: 3000 ; rpm_rb: 2091 ; th_l: 22 ; th_r: 24
time: 12544 ; d_psi: 23 ; rpm_l: 2670 ; rpm_r: -2460 ; rpm_lb: 2712 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 13049 ; d_psi: 22 ; rpm_l: 2700 ; rpm_r: -2820 ; rpm_lb: 2722 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 13616 ; d_psi: 20 ; rpm_l: 2670 ; rpm_r: -3270 ; rpm_lb: 2751 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 14117 ; d_psi: 21 ; rpm_l: 2640 ; rpm_r: -3390 ; rpm_lb: 2726 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 14686 ; d_psi: 43 ; rpm_l: 2700 ; rpm_r: -3240 ; rpm_lb: 2447 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 15186 ; d_psi: 48 ; rpm_l: 2670 ; rpm_r: -3360 ; rpm_lb: 2382 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 15687 ; d_psi: 14 ; rpm_l: 2370 ; rpm_r: -3240 ; rpm_lb: 2807 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 16197 ; d_psi: 25 ; rpm_l: 2550 ; rpm_r: -3000 ; rpm_lb: 2672 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 16763 ; d_psi: 10 ; rpm_l: 2580 ; rpm_r: -2910 ; rpm_lb: 2858 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 17264 ; d_psi: -56 ; rpm_l: 2790 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2299 ; th_l: 22 ; th_r: 24
time: 17811 ; d_psi: -19 ; rpm_l: 3000 ; rpm_r: -2580 ; rpm_lb: 3000 ; rpm_rb: 2761 ; th_l: 22 ; th_r: 24
time: 18365 ; d_psi: 158 ; rpm_l: 3150 ; rpm_r: -2460 ; rpm_lb: 998 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 18898 ; d_psi: 5 ; rpm_l: 1980 ; rpm_r: -2730 ; rpm_lb: 2909 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 19411 ; d_psi: 157 ; rpm_l: 2160 ; rpm_r: -2880 ; rpm_lb: 999 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 19916 ; d_psi: 2 ; rpm_l: 1410 ; rpm_r: -3090 ; rpm_lb: 2942 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 20486 ; d_psi: -12 ; rpm_l: 1860 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2874 ; th_l: 22 ; th_r: 24
time: 20995 ; d_psi: -15 ; rpm_l: 2460 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2837 ; th_l: 22 ; th_r: 24
time: 21549 ; d_psi: 0 ; rpm_l: 3000 ; rpm_r: -2850 ; rpm_lb: 2981 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 22054 ; d_psi: -125 ; rpm_l: 3270 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 1450 ; th_l: 22 ; th_r: 24
time: 22620 ; d_psi: -11 ; rpm_l: 3450 ; rpm_r: -2070 ; rpm_lb: 3000 ; rpm_rb: 2877 ; th_l: 22 ; th_r: 24
time: 23121 ; d_psi: 47 ; rpm_l: 3420 ; rpm_r: -2280 ; rpm_lb: 2381 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 23683 ; d_psi: 1 ; rpm_l: 2940 ; rpm_r: -2490 ; rpm_lb: 2957 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 24193 ; d_psi: -45 ; rpm_l: 2790 ; rpm_r: -2820 ; rpm_lb: 3000 ; rpm_rb: 2449 ; th_l: 22 ; th_r: 24
time: 24753 ; d_psi: -157 ; rpm_l: 2790 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 1036 ; th_l: 22 ; th_r: 24
time: 25254 ; d_psi: -131 ; rpm_l: 3030 ; rpm_r: -1830 ; rpm_lb: 3000 ; rpm_rb: 1357 ; th_l: 22 ; th_r: 24
time: 25805 ; d_psi: 13 ; rpm_l: 2940 ; rpm_r: -1200 ; rpm_lb: 2839 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 26363 ; d_psi: -5 ; rpm_l: 2940 ; rpm_r: -1890 ; rpm_lb: 3000 ; rpm_rb: 2923 ; th_l: 22 ; th_r: 24
time: 26896 ; d_psi: 65 ; rpm_l: 2940 ; rpm_r: -2310 ; rpm_lb: 2175 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 27401 ; d_psi: 26 ; rpm_l: 2460 ; rpm_r: -2970 ; rpm_lb: 2664 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 27906 ; d_psi: -69 ; rpm_l: 2430 ; rpm_r: -3390 ; rpm_lb: 3000 ; rpm_rb: 2129 ; th_l: 22 ; th_r: 24
time: 28479 ; d_psi: -32 ; rpm_l: 2700 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2588 ; th_l: 22 ; th_r: 24
time: 28988 ; d_psi: -33 ; rpm_l: 2730 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 2575 ; th_l: 22 ; th_r: 24
time: 29549 ; d_psi: 35 ; rpm_l: 3060 ; rpm_r: -2640 ; rpm_lb: 2558 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 30054 ; d_psi: 61 ; rpm_l: 2820 ; rpm_r: -2790 ; rpm_lb: 2236 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 30620 ; d_psi: 12 ; rpm_l: 2550 ; rpm_r: -2970 ; rpm_lb: 2837 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 31121 ; d_psi: 174 ; rpm_l: 2550 ; rpm_r: -3030 ; rpm_lb: 805 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 31622 ; d_psi: -58 ; rpm_l: 1560 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 2277 ; th_l: 22 ; th_r: 24
time: 32123 ; d_psi: 48 ; rpm_l: 1950 ; rpm_r: -2790 ; rpm_lb: 2373 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 32692 ; d_psi: -95 ; rpm_l: 2100 ; rpm_r: -2760 ; rpm_lb: 3000 ; rpm_rb: 1814 ; th_l: 22 ; th_r: 24
time: 33202 ; d_psi: -18 ; rpm_l: 2520 ; rpm_r: -2160 ; rpm_lb: 3000 ; rpm_rb: 2770 ; th_l: 22 ; th_r: 24
time: 33748 ; d_psi: 2 ; rpm_l: 3060 ; rpm_r: -2220 ; rpm_lb: 2966 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 34258 ; d_psi: -16 ; rpm_l: 3240 ; rpm_r: -2550 ; rpm_lb: 3000 ; rpm_rb: 2800 ; th_l: 22 ; th_r: 24
time: 34801 ; d_psi: -126 ; rpm_l: 3300 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 1416 ; th_l: 22 ; th_r: 24
time: 35362 ; d_psi: -163 ; rpm_l: 3360 ; rpm_r: -2100 ; rpm_lb: 3000 ; rpm_rb: 936 ; th_l: 22 ; th_r: 24
time: 35891 ; d_psi: 22 ; rpm_l: 3270 ; rpm_r: -1080 ; rpm_lb: 2733 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 36405 ; d_psi: -67 ; rpm_l: 2940 ; rpm_r: -1860 ; rpm_lb: 3000 ; rpm_rb: 2138 ; th_l: 22 ; th_r: 24
time: 36916 ; d_psi: -30 ; rpm_l: 2970 ; rpm_r: -2040 ; rpm_lb: 3000 ; rpm_rb: 2587 ; th_l: 22 ; th_r: 24
time: 37479 ; d_psi: -82 ; rpm_l: 2880 ; rpm_r: -2340 ; rpm_lb: 3000 ; rpm_rb: 1931 ; th_l: 22 ; th_r: 24
time: 37981 ; d_psi: -168 ; rpm_l: 2940 ; rpm_r: -2250 ; rpm_lb: 3000 ; rpm_rb: 848 ; th_l: 22 ; th_r: 24
time: 38537 ; d_psi: 168 ; rpm_l: 3000 ; rpm_r: -1440 ; rpm_lb: 931 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 39048 ; d_psi: 153 ; rpm_l: 1890 ; rpm_r: -2160 ; rpm_lb: 1096 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 39600 ; d_psi: 135 ; rpm_l: 795 ; rpm_r: -2790 ; rpm_lb: 1314 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
duration: 40 ; psi_bar: 0 ; spd: 3000
time: 0 ; d_psi: 26 ; rpm_l: 360 ; rpm_r: -2670 ; rpm_lb: 2662 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 569 ; d_psi: 19 ; rpm_l: 3120 ; rpm_r: -2280 ; rpm_lb: 2758 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 1074 ; d_psi: -7 ; rpm_l: 3570 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 2907 ; th_l: 22 ; th_r: 24
time: 1636 ; d_psi: -65 ; rpm_l: 3600 ; rpm_r: -3090 ; rpm_lb: 3000 ; rpm_rb: 2178 ; th_l: 22 ; th_r: 24
time: 2142 ; d_psi: 40 ; rpm_l: 3600 ; rpm_r: -2880 ; rpm_lb: 2492 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 2689 ; d_psi: -47 ; rpm_l: 3090 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2402 ; th_l: 22 ; th_r: 24
time: 3247 ; d_psi: 37 ; rpm_l: 2970 ; rpm_r: -2790 ; rpm_lb: 2529 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3772 ; d_psi: 26 ; rpm_l: 2640 ; rpm_r: -2880 ; rpm_lb: 2669 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 4293 ; d_psi: 89 ; rpm_l: 2520 ; rpm_r: -2970 ; rpm_lb: 1873 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 4802 ; d_psi: 78 ; rpm_l: 2040 ; rpm_r: -3000 ; rpm_lb: 2005 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 5362 ; d_psi: 92 ; rpm_l: 1710 ; rpm_r: -3120 ; rpm_lb: 1820 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 5864 ; d_psi: -19 ; rpm_l: 1440 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 2780 ; th_l: 22 ; th_r: 24
time: 6367 ; d_psi: -30 ; rpm_l: 1980 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2638 ; th_l: 22 ; th_r: 24
time: 6869 ; d_psi: -39 ; rpm_l: 2580 ; rpm_r: -2640 ; rpm_lb: 3000 ; rpm_rb: 2519 ; th_l: 22 ; th_r: 24
time: 7417 ; d_psi: 31 ; rpm_l: 3150 ; rpm_r: -2490 ; rpm_lb: 2586 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 7928 ; d_psi: -11 ; rpm_l: 3180 ; rpm_r: -2640 ; rpm_lb: 3000 ; rpm_rb: 2876 ; th_l: 22 ; th_r: 24
time: 8493 ; d_psi: 88 ; rpm_l: 3270 ; rpm_r: -2760 ; rpm_lb: 1866 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 9000 ; d_psi: -64 ; rpm_l: 2640 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2209 ; th_l: 22 ; th_r: 24
time: 9567 ; d_psi: -56 ; rpm_l: 2760 ; rpm_r: -2550 ; rpm_lb: 3000 ; rpm_rb: 2313 ; th_l: 22 ; th_r: 24
time: 10072 ; d_psi: -21 ; rpm_l: 2850 ; rpm_r: -2370 ; rpm_lb: 3000 ; rpm_rb: 2740 ; th_l: 22 ; th_r: 24
time: 10573 ; d_psi: -73 ; rpm_l: 2940 ; rpm_r: -2430 ; rpm_lb: 3000 ; rpm_rb: 2094 ; th_l: 22 ; th_r: 24
time: 11078 ; d_psi: 18 ; rpm_l: 3060 ; rpm_r: -2160 ; rpm_lb: 2762 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 11635 ; d_psi: -11 ; rpm_l: 2910 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 2866 ; th_l: 22 ; th_r: 24
time: 12144 ; d_psi: -11 ; rpm_l: 2910 ; rpm_r: -2640 ; rpm_lb: 3000 ; rpm_rb: 2866 ; th_l: 22 ; th_r: 24
time: 12690 ; d_psi: -25 ; rpm_l: 3000 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2688 ; th_l: 22 ; th_r: 24
time: 13253 ; d_psi: 34 ; rpm_l: 3030 ; rpm_r: -3060 ; rpm_lb: 2559 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 13780 ; d_psi: -39 ; rpm_l: 2760 ; rpm_r: -3120 ; rpm_lb: 3000 ; rpm_rb: 2507 ; th_l: 22 ; th_r: 24
time: 14288 ; d_psi: -26 ; rpm_l: 2820 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2666 ; th_l: 22 ; th_r: 24
time: 14797 ; d_psi: 130 ; rpm_l: 2940 ; rpm_r: -2790 ; rpm_lb: 1351 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 15359 ; d_psi: 38 ; rpm_l: 2010 ; rpm_r: -2790 ; rpm_lb: 2496 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 15861 ; d_psi: -55 ; rpm_l: 2070 ; rpm_r: -2910 ; rpm_lb: 3000 ; rpm_rb: 2322 ; th_l: 22 ; th_r: 24
time: 16420 ; d_psi: -2 ; rpm_l: 2430 ; rpm_r: -2580 ; rpm_lb: 3000 ; rpm_rb: 2982 ; th_l: 22 ; th_r: 24
time: 16931 ; d_psi: -64 ; rpm_l: 2610 ; rpm_r: -2670 ; rpm_lb: 3000 ; rpm_rb: 2200 ; th_l: 22 ; th_r: 24
time: 17496 ; d_psi: 105 ; rpm_l: 3000 ; rpm_r: -2340 ; rpm_lb: 1661 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 18003 ; d_psi: 67 ; rpm_l: 2430 ; rpm_r: -2670 ; rpm_lb: 2139 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 18504 ; d_psi: 139 ; rpm_l: 2130 ; rpm_r: -2790 ; rpm_lb: 1218 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 19011 ; d_psi: -64 ; rpm_l: 1560 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2215 ; th_l: 22 ; th_r: 24
time: 19573 ; d_psi: 6 ; rpm_l: 1920 ; rpm_r: -2760 ; rpm_lb: 2892 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 20078 ; d_psi: -114 ; rpm_l: 2460 ; rpm_r: -2820 ; rpm_lb: 3000 ; rpm_rb: 1581 ; th_l: 22 ; th_r: 24
time: 20640 ; d_psi: -76 ; rpm_l: 2850 ; rpm_r: -2130 ; rpm_lb: 3000 ; rpm_rb: 2056 ; th_l: 22 ; th_r: 24
time: 21145 ; d_psi: -86 ; rpm_l: 3300 ; rpm_r: -1830 ; rpm_lb: 3000 ; rpm_rb: 1927 ; th_l: 22 ; th_r: 24
time: 21692 ; d_psi: -86 ; rpm_l: 3390 ; rpm_r: -1620 ; rpm_lb: 3000 ; rpm_rb: 1916 ; th_l: 22 ; th_r: 24
time: 22247 ; d_psi: -81 ; rpm_l: 3450 ; rpm_r: -1530 ; rpm_lb: 3000 ; rpm_rb: 1975 ; th_l: 22 ; th_r: 24
time: 22773 ; d_psi: -55 ; rpm_l: 3330 ; rpm_r: -1650 ; rpm_lb: 3000 ; rpm_rb: 2290 ; th_l: 22 ; th_r: 24
time: 23293 ; d_psi: -45 ; rpm_l: 3090 ; rpm_r: -1920 ; rpm_lb: 3000 ; rpm_rb: 2410 ; th_l: 22 ; th_r: 24
time: 23802 ; d_psi: 70 ; rpm_l: 3090 ; rpm_r: -2310 ; rpm_lb: 2136 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 24362 ; d_psi: -96 ; rpm_l: 2490 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 1779 ; th_l: 22 ; th_r: 24
time: 24864 ; d_psi: 75 ; rpm_l: 2550 ; rpm_r: -2550 ; rpm_lb: 2074 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 25370 ; d_psi: -35 ; rpm_l: 2190 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2533 ; th_l: 22 ; th_r: 24
time: 25872 ; d_psi: -10 ; rpm_l: 2460 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2855 ; th_l: 22 ; th_r: 24
time: 26425 ; d_psi: 104 ; rpm_l: 2730 ; rpm_r: -2940 ; rpm_lb: 1703 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 26935 ; d_psi: 45 ; rpm_l: 2250 ; rpm_r: -3150 ; rpm_lb: 2440 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 27501 ; d_psi: -178 ; rpm_l: 2160 ; rpm_r: -3150 ; rpm_lb: 3000 ; rpm_rb: 747 ; th_l: 22 ; th_r: 24
time: 28008 ; d_psi: 39 ; rpm_l: 2580 ; rpm_r: -1920 ; rpm_lb: 2522 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 28563 ; d_psi: 18 ; rpm_l: 2520 ; rpm_r: -2040 ; rpm_lb: 2780 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 29068 ; d_psi: -4 ; rpm_l: 2700 ; rpm_r: -2370 ; rpm_lb: 3000 ; rpm_rb: 2929 ; th_l: 22 ; th_r: 24
time: 29633 ; d_psi: 8 ; rpm_l: 3030 ; rpm_r: -2790 ; rpm_lb: 2908 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 30138 ; d_psi: -52 ; rpm_l: 3090 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2320 ; th_l: 22 ; th_r: 24
time: 30685 ; d_psi: -33 ; rpm_l: 3270 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2555 ; th_l: 22 ; th_r: 24
time: 31249 ; d_psi: -11 ; rpm_l: 3240 ; rpm_r: -2700 ; rpm_lb: 3000 ; rpm_rb: 2833 ; th_l: 22 ; th_r: 24
time: 31776 ; d_psi: -85 ; rpm_l: 3120 ; rpm_r: -2670 ; rpm_lb: 3000 ; rpm_rb: 1905 ; th_l: 22 ; th_r: 24
time: 32291 ; d_psi: -35 ; rpm_l: 3030 ; rpm_r: -2340 ; rpm_lb: 3000 ; rpm_rb: 2524 ; th_l: 22 ; th_r: 24
time: 32800 ; d_psi: 12 ; rpm_l: 3090 ; rpm_r: -2250 ; rpm_lb: 2881 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 33369 ; d_psi: -22 ; rpm_l: 2880 ; rpm_r: -2550 ; rpm_lb: 3000 ; rpm_rb: 2689 ; th_l: 22 ; th_r: 24
time: 33871 ; d_psi: 59 ; rpm_l: 2850 ; rpm_r: -2700 ; rpm_lb: 2291 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 34430 ; d_psi: -160 ; rpm_l: 2550 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 950 ; th_l: 22 ; th_r: 24
time: 34940 ; d_psi: 55 ; rpm_l: 2760 ; rpm_r: -1980 ; rpm_lb: 2339 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 35503 ; d_psi: 48 ; rpm_l: 2430 ; rpm_r: -2205 ; rpm_lb: 2433 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 36010 ; d_psi: 95 ; rpm_l: 2280 ; rpm_r: -2550 ; rpm_lb: 1828 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 36564 ; d_psi: 169 ; rpm_l: 1890 ; rpm_r: -2970 ; rpm_lb: 889 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 37070 ; d_psi: 8 ; rpm_l: 990 ; rpm_r: -3150 ; rpm_lb: 2909 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 37638 ; d_psi: 9 ; rpm_l: 1620 ; rpm_r: -3270 ; rpm_lb: 2896 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 38145 ; d_psi: -15 ; rpm_l: 2310 ; rpm_r: -3090 ; rpm_lb: 3000 ; rpm_rb: 2794 ; th_l: 22 ; th_r: 24
time: 38688 ; d_psi: -44 ; rpm_l: 2910 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2427 ; th_l: 22 ; th_r: 24
time: 39253 ; d_psi: -68 ; rpm_l: 3420 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 2126 ; th_l: 22 ; th_r: 24
time: 39783 ; d_psi: 12 ; rpm_l: 3600 ; rpm_r: -2340 ; rpm_lb: 2861 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
duration_max: 120 ; a: nord ; b: ouest ; spd: 3000
