
New mission : Follow LINE from ponton to nord - duration_max: 1000000 ; spd: 3000
time d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 93 0 0 1826 3000 16 16 
502 84 2730 -3270 1934 3000 16 16 
1009 87 2040 -3360 1883 3000 16 16 
1555 92 1740 -3090 1819 3000 16 16 
2058 87 1890 -3000 1863 3000 16 16 
2615 93 1860 -3090 1782 3000 16 16 
3123 79 1695 -2910 1959 3000 16 16 
3674 58 2070 -2970 2206 3000 16 16 
4222 55 2220 -2970 2241 3000 16 16 
4725 54 2310 -3000 2249 3000 16 16 
5229 37 2280 -2970 2457 3000 16 16 
5732 40 2520 -3090 2416 3000 16 16 
6254 43 2400 -2970 2384 3000 16 16 
6762 39 2370 -3000 2427 3000 16 16 
7266 56 2490 -2970 2211 3000 16 16 
7774 45 2100 -3120 2346 3000 16 16 
8339 40 2460 -2970 2405 3000 16 16 
8848 48 2370 -2940 2299 3000 16 16 
9399 73 2250 -3060 1985 3000 16 16 
9902 61 1920 -3030 2119 3000 16 16 
10474 69 2160 -2940 2019 3000 16 16 
10976 46 1920 -3030 2308 3000 16 16 
11543 46 2520 -3030 2298 3000 16 16 
12052 53 2250 -2970 2205 3000 16 16 
12604 71 2130 -3030 1978 3000 16 16 
13114 65 1950 -3030 2042 3000 16 16 
13661 39 2040 -2940 2370 3000 16 16 
14218 66 2550 -2940 2019 3000 16 16 
14725 77 1830 -3090 1884 3000 16 16 
15256 98 1800 -3000 1603 3000 16 16 
15765 92 1530 -2940 1677 3000 16 16 
16333 70 1770 -3000 1947 3000 16 16 
16834 78 1950 -2940 1845 3000 16 16 
17396 55 1860 -3120 2125 3000 16 16 
17902 91 2220 -3000 1668 3000 16 16 
18403 80 1470 -2940 1799 3000 16 16 
18910 61 1860 -3030 2028 3000 16 16 
19480 87 2100 -2940 1700 3000 16 16 
19983 90 1590 -3060 1646 3000 16 16 
20551 88 1680 -3090 1673 3000 16 16 
21060 86 1620 -2940 1685 3000 16 16 
21619 84 1740 -2910 1709 3000 16 16 
22120 80 1740 -3150 1749 3000 16 16 
22671 65 1680 -2850 1924 3000 16 16 
23222 69 2100 -3120 1877 3000 16 16 
23730 54 1740 -2970 2053 3000 16 16 
24262 67 2190 -2940 1889 3000 16 16 
24765 73 1800 -2940 1802 3000 16 16 
25333 49 1770 -3030 2108 3000 16 16 
25841 33 2250 -3000 2300 3000 16 16 
26404 48 2280 -3000 2110 3000 16 16 
26906 35 2130 -3060 2264 3000 16 16 
27469 19 2280 -2910 2461 3000 16 16 
27979 49 2550 -3030 2092 3000 16 16 
28552 3 1950 -3150 2656 3000 16 16 
29061 45 2820 -2820 2135 3000 16 16 
29614 -25 2220 -3000 3000 2976 16 16 
30121 -35 2910 -3030 3000 2843 16 16 
30674 -23 3240 -2760 2999 3000 16 16 
31219 -66 2850 -3120 3000 2453 16 16 
31730 -29 3150 -2190 3000 2913 16 16 
32263 -15 2940 -3180 2907 3000 16 16 
32768 -22 2940 -2970 3000 2999 16 16 
33334 -30 2850 -2940 3000 2896 16 16 
33842 -21 3210 -2970 2996 3000 16 16 
34397 -23 2850 -2910 3000 2980 16 16 
34900 -19 3030 -3090 2978 3000 16 16 
35472 -113 3000 -3030 3000 1842 16 16 
35981 -14 2940 -1500 2924 3000 16 16 
36544 -21 3000 -2820 3000 2988 16 16 
37049 17 3030 -3210 2517 3000 16 16 
37551 6 2190 -2850 2661 3000 16 16 
38056 16 2730 -3090 2534 3000 16 16 
38617 27 2580 -3000 2397 3000 16 16 
39127 16 2340 -3030 2527 3000 16 16 
39673 13 2640 -2970 2558 3000 16 16 
40226 29 2520 -3030 2357 3000 16 16 
40737 15 2280 -2940 2532 3000 16 16 
41267 44 2640 -2970 2167 3000 16 16 
41772 11 1950 -3180 2584 3000 16 16 
42344 21 2760 -2850 2456 3000 16 16 
42852 40 2430 -3060 2217 3000 16 16 
43402 35 2100 -3000 2278 3000 16 16 
43905 19 2370 -2970 2471 3000 16 16 
44410 81 2460 -2880 1693 3000 16 16 
44912 27 1410 -3270 2363 3000 16 16 
45472 54 2430 -2820 2016 3000 16 16 
45981 53 1980 -3000 2033 3000 16 16 
46553 47 2070 -3090 2094 3000 16 16 
47060 54 2070 -2880 2005 3000 16 16 
47618 57 1950 -3150 1963 3000 16 16 
48121 48 2040 -3000 2070 3000 16 16 
48622 47 1980 -2910 2080 3000 16 16 
49130 50 2190 -3030 2039 3000 16 16 
49681 29 1980 -3030 2305 3000 16 16 
50225 63 2430 -2880 1866 3000 16 16 
50736 66 1650 -3240 1825 3000 16 16 
51266 51 1830 -2760 2010 3000 16 16 
51770 52 2070 -2970 1994 3000 16 16 
