
New mission : Follow POINT - duration_max: 60
time psi rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 40 0 0 75 0 17 19 
501 42 0 0 174 0 17 19 
1001 37 0 0 282 0 17 19 
1506 30 0 0 402 0 17 19 
2008 45 0 0 565 0 17 19 
2513 22 0 0 540 175 17 19 
3016 35 0 0 709 143 17 19 
3520 51 0 0 817 52 17 19 
4021 48 0 0 911 0 17 19 
4536 51 0 0 982 0 17 19 
5039 67 0 0 1046 0 17 19 
5541 67 0 0 944 98 17 19 
6051 69 0 0 887 241 17 19 
6620 81 0 0 887 441 17 19 
7123 96 0 0 1087 441 17 19 
7673 100 0 0 1287 441 17 19 
8176 108 0 0 1253 607 17 19 
8748 117 0 0 1127 681 17 19 
9258 117 0 0 927 681 17 19 
9817 127 0 0 727 681 17 19 
10322 134 0 0 527 681 17 19 
10852 138 0 0 327 681 17 19 
11362 144 0 0 201 754 17 19 
11909 145 0 0 162 915 17 19 
12415 153 0 0 362 915 17 19 
12949 157 0 0 562 915 17 19 
13508 168 0 0 762 915 17 19 
14013 158 0 0 952 905 17 19 
14548 158 0 0 1065 818 17 19 
15059 157 0 0 1098 652 17 19 
15616 167 0 0 898 652 17 19 
16119 178 0 0 898 452 17 19 
16625 160 0 0 698 452 17 19 
17127 159 0 0 505 458 17 19 
17681 158 0 0 587 340 17 19 
18191 155 0 0 749 303 17 19 
18749 142 0 0 749 503 17 19 
19258 138 0 0 749 703 17 19 
19827 135 0 0 749 903 17 19 
20334 129 0 0 749 1103 17 19 
20856 133 0 0 693 1246 17 19 
21359 117 0 0 567 1320 17 19 
21910 115 0 0 369 1323 17 19 
22418 116 0 0 169 1323 17 19 
22947 115 0 0 0 1323 17 19 
23498 118 0 0 0 1323 17 19 
24003 116 0 0 61 1184 17 19 
24509 115 0 0 207 1130 17 19 
25014 111 0 0 407 1130 17 19 
25540 111 0 0 607 1130 17 19 
26050 117 0 0 607 1330 17 19 
26616 123 0 0 807 1330 17 19 
27119 121 0 0 962 1285 17 19 
27675 115 0 0 1039 1162 17 19 
28178 119 0 0 1039 962 17 19 
28749 125 0 0 1039 762 17 19 
29258 123 0 0 1039 562 17 19 
29821 125 0 0 1039 362 17 19 

New mission : Follow POINT - duration_max: 60
time psi rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 26 0 0 65 0 16 18 
502 32 0 0 298 0 16 18 
1009 33 0 0 795 0 16 18 
1551 27 0 0 1308 0 16 18 
2061 26 0 0 1855 0 16 18 
2622 23 0 0 1430 575 16 18 
3125 47 0 0 1974 118 16 18 
3657 33 0 0 2533 0 16 18 
4158 22 0 0 3098 0 16 18 
4711 28 0 0 3614 0 16 18 
5215 17 0 0 4000 0 16 18 
5747 17 0 0 3451 451 16 18 
6302 19 0 0 2882 882 16 18 
6807 27 0 0 2338 1338 16 18 
7344 20 0 0 2799 799 16 18 
7855 21 0 0 3298 298 16 18 
8428 19 0 0 3837 0 16 18 
8931 12 0 0 3415 577 16 18 
9456 13 0 0 3020 1183 16 18 
