
New mission : Follow LINE from ponton to nord - duration_max: 1000000 ; spd: 3000
time d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 86 0 0 1914 3000 13 14 
500 78 2730 -3480 2002 3000 13 14 
1010 60 2070 -3360 2221 3000 13 14 
1518 84 2250 -2880 1916 3000 13 14 
2064 67 1800 -2970 2130 3000 13 14 
2615 81 2250 -2940 1937 3000 13 14 
3124 66 1860 -3240 2126 3000 13 14 
3652 48 2310 -2850 2346 3000 13 14 
4155 52 2310 -2880 2293 3000 13 14 
4728 105 2280 -3180 1616 3000 13 14 
5234 36 1350 -2970 2483 3000 13 14 
5737 20 2430 -2940 2682 3000 13 14 
6243 10 2820 -3030 2804 3000 13 14 
6802 28 2820 -2970 2580 3000 13 14 
7304 34 2550 -3060 2498 3000 13 14 
7872 54 2490 -2970 2242 3000 13 14 
8376 49 2130 -2940 2295 3000 13 14 
8938 49 2280 -3030 2294 3000 13 14 
9439 82 2370 -3030 1871 3000 13 14 
9942 54 1650 -3030 2226 3000 13 14 
10446 83 2430 -2910 1857 3000 13 14 
11001 80 1560 -3210 1882 3000 13 14 
11512 113 2070 -2820 1461 3000 13 14 
12063 118 1140 -3180 1391 3000 13 14 
12610 106 1500 -2820 1527 3000 13 14 
13118 107 1590 -3090 1506 3000 13 14 
13656 108 1500 -3000 1483 3000 13 14 
14159 131 1410 -2940 1183 3000 13 14 
14733 94 1020 -3090 1640 3000 13 14 
15237 101 1950 -2880 1545 3000 13 14 
15737 108 1410 -3060 1453 3000 13 14 
16243 112 1440 -3030 1392 3000 13 14 
16794 78 1350 -2940 1804 3000 13 14 
17295 41 2040 -3030 2270 3000 13 14 
17862 68 2370 -2940 1927 3000 13 14 
18369 158 1800 -3060 789 3000 13 14 
18939 36 360 -3090 2308 3000 13 14 
19442 25 1650 -2820 2446 3000 13 14 
20004 5 2880 -2970 2700 3000 13 14 
20506 1 2640 -3000 2748 3000 13 14 
21053 -8 2820 -3030 2873 3000 13 14 
21609 -31 2820 -3120 3000 2834 13 14 
22112 -77 3210 -2670 3000 2259 13 14 
22648 -77 2970 -2250 3000 2253 13 14 
23157 -63 2970 -2070 3000 2419 13 14 
23724 -54 3030 -2520 3000 2529 13 14 
24225 -73 2880 -2550 3000 2281 13 14 
24726 -15 3165 -2280 2995 3000 13 14 
25235 -25 2895 -3060 3000 2880 13 14 
25786 -19 3030 -2970 3000 2950 13 14 
26293 -42 3000 -2910 3000 2663 13 14 
26798 -4 3030 -2640 2861 3000 13 14 
27305 -25 2670 -3060 3000 2873 13 14 
27871 148 3180 -2790 937 3000 13 14 
28373 -28 2160 -3240 3000 2840 13 14 
28945 5 3330 -2520 2725 3000 13 14 
29451 -23 2400 -3210 3000 2907 13 14 
30000 -17 3240 -2880 3000 2985 13 14 
30505 -34 2910 -3030 3000 2767 13 14 
31015 -22 3000 -2640 3000 2916 13 14 
31521 -52 3030 -3000 3000 2540 13 14 
32051 -44 3000 -2430 3000 2631 13 14 
32618 -30 2910 -2640 3000 2804 13 14 
33122 -22 3120 -2910 3000 2906 13 14 
33649 -45 2940 -2850 3000 2612 13 14 
34159 -37 3030 -2520 3000 2703 13 14 
34735 -7 2970 -2790 2920 3000 13 14 
35236 -36 2910 -3150 3000 2714 13 14 
35797 -12 3060 -2460 2987 3000 13 14 
36304 -8 2880 -3090 2939 3000 13 14 
36804 1 3000 -3210 2812 3000 13 14 
37311 30 2850 -2880 2439 3000 13 14 
37871 49 2220 -3030 2207 3000 13 14 
38373 35 2130 -2970 2369 3000 13 14 
38934 34 2520 -3060 2388 3000 13 14 
39442 63 2280 -2880 2018 3000 13 14 
39999 84 1920 -3240 1744 3000 13 14 
40505 95 1620 -2850 1609 3000 13 14 
41050 99 1560 -3030 1539 3000 13 14 
41607 91 1590 -3000 1634 3000 13 14 
42111 95 1620 -3000 1579 3000 13 14 
42649 107 1590 -2910 1425 3000 13 14 
43160 103 1290 -3030 1461 3000 13 14 
43726 99 1530 -2970 1506 3000 13 14 
44227 97 1500 -3120 1522 3000 13 14 
44788 76 1560 -2970 1775 3000 13 14 
45291 90 1860 -2940 1597 3000 13 14 
45861 83 1500 -2970 1675 3000 13 14 
46363 99 1740 -3030 1468 3000 13 14 
46935 86 1320 -3015 1622 3000 13 14 
