
New mission : Follow LINE from ponton to nord - duration_max: 1000000 ; spd: 3000
time d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 0 2990 3000 10 13 
502 100 2550 -2970 1740 3000 10 13 
1003 93 1980 -3810 1814 3000 10 13 
1503 93 1710 -2940 1801 3000 10 13 
2049 79 1830 -2970 1976 3000 10 13 
2559 90 2040 -2970 1825 3000 10 13 
3122 72 1740 -3120 2047 3000 10 13 
3623 18 2190 -2850 2724 3000 10 13 
4191 32 2880 -3060 2544 3000 10 13 
4695 31 2520 -2940 2555 3000 10 13 
5246 18 2520 -3090 2720 3000 10 13 
5796 3 2850 -2940 2897 3000 10 13 
6305 29 2910 -2940 2570 3000 10 13 
6836 -35 2490 -3090 3000 2607 10 13 
7338 -55 3150 -2490 3000 2349 10 13 
7839 10 3120 -2340 2822 3000 10 13 
8341 10 2580 -3150 2822 3000 10 13 
8916 24 2940 -2940 2642 3000 10 13 
9422 30 2520 -3090 2563 3000 10 13 
9977 37 2595 -2850 2470 3000 10 13 
10487 24 2310 -3030 2630 3000 10 13 
11051 -6 2910 -3090 3000 2977 10 13 
11560 16 2940 -2880 2737 3000 10 13 
12132 4 2670 -3060 2888 3000 10 13 
12636 0 2940 -2910 2939 3000 10 13 
13192 2 3060 -3180 2905 3000 10 13 
13700 26 2850 -2880 2610 3000 10 13 
14202 6 2460 -3060 2854 3000 10 13 
14703 17 3060 -3000 2719 3000 10 13 
15247 -39 2550 -3000 3000 2573 10 13 
15806 9 3180 -2370 2816 3000 10 13 
16315 -36 2700 -3090 3000 2597 10 13 
16844 -12 3120 -2610 3000 2907 10 13 
17346 16 2910 -2940 2731 3000 10 13 
17847 34 2700 -3030 2507 3000 10 13 
18350 53 2370 -3000 2263 3000 10 13 
18921 46 2190 -3030 2352 3000 10 13 
19426 -44 2430 -2970 3000 2506 10 13 
19982 41 3210 -2370 2414 3000 10 13 
20484 -52 2175 -3210 3000 2413 10 13 
21055 -4 3330 -2130 2990 3000 10 13 
21564 -4 2910 -2970 2990 3000 10 13 
22121 22 2850 -3420 2646 3000 10 13 
22631 -115 2670 -2760 3000 1610 10 13 
23198 -118 3210 -1200 3000 1560 10 13 
23701 -126 2880 -1650 3000 1458 10 13 
24243 -102 2940 -1440 3000 1744 10 13 
24793 -88 3090 -1800 3000 1910 10 13 
25302 -84 2970 -2010 3000 1956 10 13 
25834 -71 3000 -1980 3000 2120 10 13 
26337 -32 3000 -2160 3000 2593 10 13 
26910 -48 2940 -2700 3000 2390 10 13 
27416 -33 3015 -2400 3000 2582 10 13 
27976 -41 3075 -2550 3000 2476 10 13 
28478 -11 2940 -2490 3000 2850 10 13 
29049 -9 2970 -2940 3000 2876 10 13 
29559 2 3000 -2970 2974 3000 10 13 
30117 37 3120 -3030 2531 3000 10 13 
30620 49 2400 -2970 2381 3000 10 13 
31187 54 2190 -3120 2313 3000 10 13 
31696 177 2310 -2910 756 3000 10 13 
32244 -169 1050 -3090 3000 881 10 13 
32806 -168 2310 -1590 3000 883 10 13 
33314 -154 3270 -300 3000 1054 10 13 
33836 -155 2940 -1410 3000 1017 10 13 
34340 -148 3090 -900 3000 1092 10 13 
34843 -131 2940 -1200 3000 1295 10 13 
35349 -126 3000 -1320 3000 1352 10 13 
35910 -103 3000 -1320 3000 1633 10 13 
36416 -91 3060 -1680 3000 1769 10 13 
36919 -65 2910 -1920 3000 2086 10 13 
37425 -37 3000 -2190 3000 2433 10 13 
37971 4 2970 -2490 3000 2961 10 13 
38474 20 2985 -3000 2839 3000 10 13 
38980 -15 2835 -3090 3000 2714 10 13 
39490 2 3030 -2700 3000 2938 10 13 
40054 11 3030 -3000 2946 3000 10 13 
40563 -32 2910 -3000 3000 2499 10 13 
41132 28 3060 -2520 2733 3000 10 13 
41636 30 2640 -2910 2710 3000 10 13 
42197 49 2700 -3060 2461 3000 10 13 
42706 35 2400 -3120 2641 3000 10 13 
43246 25 2700 -2880 2763 3000 10 13 
43803 11 2820 -3000 2928 3000 10 13 
44312 160 2970 -3075 1059 3000 10 13 
44833 -83 1860 -2985 3000 1882 10 13 
45336 -78 330 -330 3000 1940 10 13 
45838 -48 3090 -2070 3000 2308 10 13 
46341 -71 3900 -3120 3000 2018 10 13 
46914 -52 1410 -930 3000 2254 10 13 
