
New mission : Follow LINE from est to ouest - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 0 0 0 0 66 0 0 2150 3000 19 22 
500 0 0 0 0 0 0 -13 2880 -2700 3000 2850 19 22 
1002 0 0 0 0 0 0 -30 3210 -3270 3000 2622 19 22 
1531 0 0 0 0 0 0 -3 3150 -2850 3000 2960 19 22 
2084 0 0 0 0 0 0 -10 3090 -3060 3000 2871 19 22 
2591 0 0 0 0 0 0 -11 2910 -2730 3000 2851 19 22 
3122 0 0 0 0 0 0 -8 2940 -2970 3000 2891 19 22 
3632 0 0 0 0 0 0 -13 3030 -2820 3000 2830 19 22 
4195 0 0 0 0 0 0 -38 2970 -2910 3000 2499 19 22 
4700 0 0 0 0 0 0 -14 3030 -2430 3000 2800 19 22 
5255 0 0 0 0 0 0 -13 3060 -2820 3000 2809 19 22 
5759 0 0 0 0 0 0 18 3090 -2790 2786 3000 19 22 
6262 0 0 0 0 0 0 -26 2580 -3150 3000 2649 19 22 
6766 0 0 0 0 0 0 -38 3090 -2580 3000 2486 19 22 
7339 0 0 0 0 0 0 -31 3030 -2400 3000 2570 19 22 
7845 0 0 0 0 0 0 -52 3030 -2580 3000 2292 19 22 
8410 0 0 0 0 0 0 -20 3000 -2250 3000 2689 19 22 
8921 0 0 0 0 0 0 -14 2820 -2610 3000 2756 19 22 
9440 0 0 0 0 0 0 -35 3150 -2970 3000 2481 19 22 
9944 0 0 0 0 0 0 -20 3000 -2400 3000 2671 19 22 
10492 0 0 0 0 0 0 -24 3000 -2700 3000 2604 19 22 
11001 0 0 0 0 0 0 -25 2940 -2520 3000 2588 19 22 
11528 0 0 0 0 0 0 -26 3030 -2640 3000 2573 19 22 
12080 0 0 0 0 0 0 21 3030 -2670 2817 3000 19 22 
12587 0 0 0 0 0 0 -3 2670 -2910 3000 2860 19 22 
13120 0 0 0 0 0 0 1 3120 -2880 3000 2928 19 22 
13621 0 0 0 0 0 0 11 3060 -3000 2939 3000 19 22 
14128 0 0 0 0 0 0 -6 2880 -2940 3000 2828 19 22 
14629 0 0 0 0 0 0 -1 3030 -2820 3000 2891 19 22 
15132 0 0 0 0 0 0 42 3000 -2940 2544 3000 19 22 
15635 0 0 0 0 0 0 -4 2340 -3090 3000 2858 19 22 
16199 0 0 0 0 0 0 -8 3270 -2700 3000 2812 19 22 
16706 0 0 0 0 0 0 17 2940 -2820 2863 3000 19 22 
17256 0 0 0 0 0 0 -16 2760 -3180 3000 2715 19 22 
17762 0 0 0 0 0 0 -16 3030 -2520 3000 2700 19 22 
