
New mission : Follow LINE from ponton to est - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 393 479 -784 20 91 -995 87 0 0 1884 3000 19 22 
500 278 453 -846 -29 -11 -999 79 2760 -2580 1960 3000 19 22 
1044 308 567 -763 -101 130 -986 73 2010 -3720 2024 3000 19 22 
1606 371 366 -852 601 -119 -790 135 2010 -3210 1207 3000 19 22 
2134 395 307 -865 218 23 -975 78 780 -2730 1902 3000 19 22 
2647 441 287 -849 12 -1 -999 56 1890 -3030 2160 3000 19 22 
3157 454 286 -843 -54 84 -994 46 2310 -2850 2279 3000 19 22 
3724 495 259 -828 -36 142 -989 38 2310 -3000 2375 3000 19 22 
4226 482 76 -872 283 -376 -882 85 2370 -2970 1755 3000 19 22 
4779 435 -46 -898 36 21 -999 13 1650 -3300 2654 3000 19 22 
5280 381 -158 -910 241 148 -958 -39 2640 -2940 3000 2667 19 22 
5853 252 -274 -927 0 -97 -995 -12 3150 -2580 2998 3000 19 22 
6361 142 -250 -957 -73 116 -990 -36 2970 -3180 3000 2695 19 22 
6926 48 -185 -981 39 292 -955 -65 3030 -2670 3000 2316 19 22 
7430 -10 -296 -954 -93 462 -881 -61 3120 -2160 3000 2357 19 22 
7992 7 -522 -852 58 -21 -998 -71 3060 -2490 3000 2204 19 22 
8493 31 -410 -911 53 -170 -983 -77 2880 -2130 3000 2119 19 22 
9005 16 -392 -919 51 -7 -998 -77 3000 -2070 3000 2099 19 22 
9506 3 -294 -955 19 -164 -986 -81 3120 -2130 3000 2025 19 22 
10040 17 -347 -937 -125 107 -986 -58 2940 -2010 3000 2302 19 22 
10614 58 -350 -934 -3 -43 -999 -65 2910 -2400 3000 2199 19 22 
11141 -10 -375 -926 -28 -10 -999 -74 3060 -2160 3000 2059 19 22 
11651 -36 -354 -934 -50 183 -981 -76 2940 -2010 3000 2019 19 22 
12161 -69 -432 -899 -80 270 -959 -79 3120 -2010 3000 1967 19 22 
12725 -23 -387 -921 1 -153 -988 -84 2940 -1950 3000 1875 19 22 
13228 -4 -420 -907 -199 403 -892 -68 3090 -1860 3000 2065 19 22 
13784 138 -335 -931 0 0 -999 -57 2910 -2100 3000 2180 19 22 
14285 127 -327 -936 -104 26 -994 -49 2940 -2220 3000 2266 19 22 
14857 150 -270 -950 -19 137 -990 -59 3030 -2220 3000 2133 19 22 
15364 119 -281 -951 127 124 -984 -83 3120 -2160 3000 1807 19 22 
15867 218 -238 -946 -55 58 -996 -41 2910 -1770 3000 2330 19 22 
16374 206 -258 -943 65 123 -990 -63 3030 -2340 3000 2033 19 22 
16940 237 -211 -947 202 -25 -978 -72 2940 -2070 3000 1901 19 22 
17443 271 -260 -926 -19 59 -998 -43 3000 -1860 3000 2257 19 22 
17946 299 -154 -941 361 85 -928 -99 3000 -2220 3000 1526 19 22 
18447 185 -296 -936 70 186 -979 -71 3150 -1500 3000 1859 19 22 
19011 317 -186 -929 -31 -44 -998 -18 2820 -1890 3000 2514 19 22 
19516 228 -237 -943 -110 -117 -986 -17 3150 -2610 3000 2524 19 22 
20047 274 -214 -937 -835 403 -371 -26 2820 -2460 3000 2402 19 22 
20612 208 -222 -952 -21 -493 -869 52 3090 -2430 2588 3000 19 22 
21125 300 -239 -923 75 -112 -990 -27 2460 -3150 3000 2403 19 22 
21652 406 -250 -878 76 44 -996 -38 3120 -2220 3000 2259 19 22 
22159 328 -333 -883 208 -190 -959 -47 3000 -2220 3000 2133 19 22 
22733 321 -230 -918 98 -196 -975 -8 3000 -2190 3000 2618 19 22 
23244 297 -235 -925 -83 40 -995 -34 3000 -2610 3000 2288 19 22 
23798 303 -142 -942 345 281 -895 -92 3030 -2340 3000 1534 19 22 
24307 233 -189 -953 256 127 -958 -90 3000 -1440 3000 1533 19 22 
24875 357 -118 -926 146 20 -989 -30 2970 -1470 3000 2281 19 22 
25375 334 -144 -931 71 131 -988 -43 2910 -2280 3000 2110 19 22 
25875 346 -117 -930 -70 292 -953 -41 3060 -2220 3000 2124 19 22 
26376 351 -124 -928 17 52 -998 -25 3060 -2160 3000 2312 19 22 
26938 429 -117 -895 41 147 -988 -30 2940 -2280 3000 2239 19 22 
27440 432 -146 -889 -20 42 -998 -20 3060 -2325 3000 2361 19 22 
27999 454 -73 -887 -124 94 -987 -13 2940 -2250 3000 2444 19 22 
28508 478 -59 -876 77 49 -995 -13 2970 -2460 3000 2450 19 22 
29035 469 -47 -881 -119 184 -975 -18 3090 -2580 3000 2377 19 22 
29536 454 -67 -888 273 29 -961 -24 2970 -2340 3000 2296 19 22 
30044 481 -94 -871 23 -73 -997 -2 2970 -2280 3000 2574 19 22 
30612 354 -192 -915 31 69 -997 -36 3060 -2700 3000 2137 19 22 
31125 377 -154 -912 128 -89 -987 -13 2970 -2040 3000 2426 19 22 
31660 418 -95 -903 -40 109 -993 -20 2970 -2310 3000 2322 19 22 
32166 451 -23 -891 62 120 -990 -16 3150 -2490 3000 2377 19 22 
32729 467 -24 -883 -11 180 -983 -18 2880 -2280 3000 2341 19 22 
33241 469 -27 -882 -29 112 -993 -11 2940 -2370 3000 2425 19 22 
33789 443 -43 -895 -72 -202 -976 17 3120 -2400 3000 2794 19 22 
34297 445 33 -894 88 -69 -993 17 2850 -2850 3000 2804 19 22 
34865 441 64 -894 93 221 -970 -18 3120 -2880 3000 2344 19 22 
35371 478 36 -877 -13 116 -993 -4 3090 -2310 3000 2525 19 22 
35938 463 72 -883 0 -28 -999 15 2910 -2415 3000 2771 19 22 
36440 522 90 -847 -23 162 -986 0 2970 -2835 3000 2569 19 22 
36946 542 35 -839 8 12 -999 6 3090 -2640 3000 2667 19 22 
37448 547 122 -827 170 -35 -984 25 2910 -2610 3000 2911 19 22 
38011 546 136 -826 -22 507 -861 -23 2970 -2880 3000 2294 19 22 
38519 517 173 -837 135 207 -968 3 3120 -2340 3000 2632 19 22 
39044 488 237 -839 -71 -281 -957 45 2940 -2580 2832 3000 19 22 
39623 486 216 -846 -17 -46 -998 34 2790 -3120 2969 3000 19 22 
40139 510 263 -818 7 112 -993 27 2970 -3030 3000 2953 19 22 
40664 485 124 -865 171 -73 -982 38 3030 -2910 2893 3000 19 22 
41165 452 56 -889 84 103 -991 4 2820 -2910 3000 2678 19 22 
41736 469 118 -874 116 -1 -993 28 3060 -2670 3000 2985 19 22 
42240 443 229 -866 -20 85 -996 30 3000 -2970 2987 3000 19 22 
42793 481 256 -837 -3 133 -991 28 2940 -3150 3000 2993 19 22 
43294 465 193 -863 38 11 -999 36 3090 -2910 2892 3000 19 22 
43867 447 300 -842 -161 30 -986 38 2820 -3030 2851 3000 19 22 
44374 477 396 -784 -20 253 -967 36 2910 -3060 2874 3000 19 22 
44939 466 411 -782 22 -206 -978 67 2760 -3030 2471 3000 19 22 
45439 479 394 -784 196 -362 -910 82 2460 -2970 2266 3000 19 22 
45947 463 285 -839 -150 119 -981 36 2130 -2940 2832 3000 19 22 
46448 427 314 -847 69 -143 -987 70 3030 -2970 2389 3000 19 22 
47015 437 273 -856 -38 -151 -987 60 2310 -3090 2492 3000 19 22 
47516 447 385 -806 53 -82 -995 71 2460 -3030 2342 3000 19 22 
48050 444 449 -774 -99 -296 -949 74 2280 -2940 2278 3000 19 22 
48616 434 481 -761 -57 -17 -998 71 2250 -3000 2303 3000 19 22 
49138 498 478 -722 127 -141 -981 83 2340 -3000 2129 3000 19 22 
49658 427 298 -852 -33 107 -993 52 2100 -2970 2500 3000 19 22 
50164 449 369 -813 -149 -155 -976 71 2580 -2910 2247 3000 19 22 
50735 495 366 -787 -23 -31 -999 68 2310 -3180 2274 3000 19 22 
51244 498 325 -803 171 -9 -985 76 2100 -2940 2148 3000 19 22 
51797 503 267 -821 -9 -92 -995 67 2160 -2970 2250 3000 19 22 
52303 482 240 -842 -187 170 -967 45 2280 -3000 2515 3000 19 22 
52869 511 269 -816 17 91 -995 57 2580 -2970 2348 3000 19 22 
53370 487 181 -854 -97 161 -982 43 2340 -3030 2516 3000 19 22 
53871 438 158 -884 -211 -78 -974 58 2490 -3060 2309 3000 19 22 
54372 463 72 -883 -56 -169 -983 63 2340 -2940 2224 3000 19 22 
54876 383 29 -923 -312 44 -948 40 2070 -3090 2513 3000 19 22 
55377 411 12 -911 -461 624 -630 11 2550 -2940 2865 3000 19 22 
55948 512 -8 -858 102 70 -992 34 3120 -2880 2577 3000 19 22 
56459 475 -50 -878 340 86 -936 3 2460 -3180 2959 3000 19 22 
57004 478 -69 -875 22 42 -998 32 3000 -2700 2590 3000 19 22 
57514 384 -114 -916 -210 336 -917 10 2580 -3120 2855 3000 19 22 
58016 292 -141 -945 -6 30 -999 16 2850 -3150 2779 3000 19 22 
58520 289 -218 -932 -9 151 -988 -3 2880 -2970 3000 2971 19 22 
59061 243 -286 -926 -184 250 -950 -4 3060 -2970 3000 2955 19 22 
59628 168 -330 -928 -71 -49 -996 -3 2970 -2940 3000 2961 19 22 
60152 114 -361 -925 192 206 -959 -50 2970 -2910 3000 2361 19 22 
60666 36 -369 -928 -84 132 -987 -31 3000 -2430 3000 2592 19 22 
61172 33 -403 -914 -63 5 -997 -33 3060 -2370 3000 2567 19 22 
61743 -28 -353 -935 -63 -79 -994 -39 3000 -2700 3000 2482 19 22 
62252 -16 -309 -950 139 310 -940 -60 2940 -2430 3000 2195 19 22 
62796 6 -306 -951 476 0 -879 -102 3030 -2190 3000 1645 19 22 
