
duration: 50 ; psi_bar: 90 ; spd: 3000
time: 0 ; d_psi: 55 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 2307 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 503 ; d_psi: 36 ; rpm_l: 2970 ; rpm_r: -3420 ; rpm_lb: 2533 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 1006 ; d_psi: 47 ; rpm_l: 3180 ; rpm_r: -3900 ; rpm_lb: 2391 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 1509 ; d_psi: -166 ; rpm_l: 3360 ; rpm_r: -4050 ; rpm_lb: 3000 ; rpm_rb: 916 ; th_l: 22 ; th_r: 24
time: 2009 ; d_psi: -129 ; rpm_l: 3540 ; rpm_r: -2730 ; rpm_lb: 3000 ; rpm_rb: 1363 ; th_l: 22 ; th_r: 24
time: 2511 ; d_psi: 80 ; rpm_l: 3450 ; rpm_r: -1680 ; rpm_lb: 2001 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3014 ; d_psi: 63 ; rpm_l: 2610 ; rpm_r: -1815 ; rpm_lb: 2211 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3517 ; d_psi: 66 ; rpm_l: 2160 ; rpm_r: -2265 ; rpm_lb: 2165 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 4019 ; d_psi: 42 ; rpm_l: 1800 ; rpm_r: -2580 ; rpm_lb: 2460 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 4535 ; d_psi: 137 ; rpm_l: 1740 ; rpm_r: -2880 ; rpm_lb: 1261 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 5043 ; d_psi: 34 ; rpm_l: 1290 ; rpm_r: -3270 ; rpm_lb: 2551 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 5597 ; d_psi: 96 ; rpm_l: 1680 ; rpm_r: -3210 ; rpm_lb: 1769 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 6107 ; d_psi: 13 ; rpm_l: 1740 ; rpm_r: -3180 ; rpm_lb: 2799 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 6663 ; d_psi: 30 ; rpm_l: 2310 ; rpm_r: -3150 ; rpm_lb: 2585 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 7173 ; d_psi: -15 ; rpm_l: 2610 ; rpm_r: -3120 ; rpm_lb: 3000 ; rpm_rb: 2842 ; th_l: 22 ; th_r: 24
time: 7705 ; d_psi: 46 ; rpm_l: 3210 ; rpm_r: -3000 ; rpm_lb: 2384 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 8272 ; d_psi: 21 ; rpm_l: 3060 ; rpm_r: -2970 ; rpm_lb: 2695 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 8797 ; d_psi: -81 ; rpm_l: 3000 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2013 ; th_l: 22 ; th_r: 24
