
duration_max: 1000000 ; a: ponton ; b: est ; spd: 3000
time: 0 ; d_psi: -3 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 3000 ; rpm_rb: 2951 ; th_l: 18 ; th_r: 20
time: 501 ; d_psi: 4 ; rpm_l: 3240 ; rpm_r: -3450 ; rpm_lb: 2948 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 1002 ; d_psi: 2 ; rpm_l: 3390 ; rpm_r: -3690 ; rpm_lb: 2973 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 1520 ; d_psi: -13 ; rpm_l: 3720 ; rpm_r: -4080 ; rpm_lb: 3000 ; rpm_rb: 2835 ; th_l: 18 ; th_r: 20
time: 2029 ; d_psi: 0 ; rpm_l: 3780 ; rpm_r: -3840 ; rpm_lb: 3000 ; rpm_rb: 2994 ; th_l: 18 ; th_r: 20
time: 2546 ; d_psi: -9 ; rpm_l: 3720 ; rpm_r: -3450 ; rpm_lb: 3000 ; rpm_rb: 2877 ; th_l: 18 ; th_r: 20
time: 3051 ; d_psi: 9 ; rpm_l: 3540 ; rpm_r: -3150 ; rpm_lb: 2878 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 3552 ; d_psi: 18 ; rpm_l: 3060 ; rpm_r: -2790 ; rpm_lb: 2773 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 4057 ; d_psi: -11 ; rpm_l: 2910 ; rpm_r: -2760 ; rpm_lb: 3000 ; rpm_rb: 2852 ; th_l: 18 ; th_r: 20
time: 4632 ; d_psi: 2 ; rpm_l: 2790 ; rpm_r: -2670 ; rpm_lb: 2964 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 5140 ; d_psi: -3 ; rpm_l: 2700 ; rpm_r: -2730 ; rpm_lb: 3000 ; rpm_rb: 2953 ; th_l: 18 ; th_r: 20
time: 5696 ; d_psi: -5 ; rpm_l: 2730 ; rpm_r: -2760 ; rpm_lb: 3000 ; rpm_rb: 2925 ; th_l: 18 ; th_r: 20
time: 6199 ; d_psi: -7 ; rpm_l: 2820 ; rpm_r: -2820 ; rpm_lb: 3000 ; rpm_rb: 2910 ; th_l: 18 ; th_r: 20
time: 6769 ; d_psi: 0 ; rpm_l: 2940 ; rpm_r: -2850 ; rpm_lb: 2998 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 7279 ; d_psi: -11 ; rpm_l: 2970 ; rpm_r: -2985 ; rpm_lb: 3000 ; rpm_rb: 2851 ; th_l: 18 ; th_r: 20
time: 7843 ; d_psi: 1 ; rpm_l: 3000 ; rpm_r: -2940 ; rpm_lb: 2977 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 8349 ; d_psi: 43 ; rpm_l: 3060 ; rpm_r: -2970 ; rpm_lb: 2452 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 8904 ; d_psi: 10 ; rpm_l: 2820 ; rpm_r: -3030 ; rpm_lb: 2860 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 9408 ; d_psi: -1 ; rpm_l: 2730 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 2986 ; th_l: 18 ; th_r: 20
time: 9957 ; d_psi: 6 ; rpm_l: 2790 ; rpm_r: -3060 ; rpm_lb: 2911 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 10501 ; d_psi: 7 ; rpm_l: 2850 ; rpm_r: -3180 ; rpm_lb: 2909 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 11012 ; d_psi: 0 ; rpm_l: 2940 ; rpm_r: -3090 ; rpm_lb: 2988 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 11542 ; d_psi: 29 ; rpm_l: 2970 ; rpm_r: -2910 ; rpm_lb: 2631 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 12047 ; d_psi: 16 ; rpm_l: 2820 ; rpm_r: -2970 ; rpm_lb: 2789 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 12620 ; d_psi: 10 ; rpm_l: 2700 ; rpm_r: -2970 ; rpm_lb: 2865 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 13129 ; d_psi: -4 ; rpm_l: 2760 ; rpm_r: -2910 ; rpm_lb: 3000 ; rpm_rb: 2950 ; th_l: 18 ; th_r: 20
time: 13683 ; d_psi: 1 ; rpm_l: 2910 ; rpm_r: -2910 ; rpm_lb: 2971 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 14185 ; d_psi: -7 ; rpm_l: 3060 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2915 ; th_l: 18 ; th_r: 20
time: 14756 ; d_psi: 32 ; rpm_l: 2940 ; rpm_r: -2970 ; rpm_lb: 2579 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 15265 ; d_psi: 0 ; rpm_l: 2880 ; rpm_r: -3000 ; rpm_lb: 2987 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 15834 ; d_psi: -4 ; rpm_l: 2820 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2947 ; th_l: 18 ; th_r: 20
time: 16337 ; d_psi: -67 ; rpm_l: 2940 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2159 ; th_l: 18 ; th_r: 20
time: 16903 ; d_psi: -2 ; rpm_l: 3030 ; rpm_r: -2520 ; rpm_lb: 3000 ; rpm_rb: 2976 ; th_l: 18 ; th_r: 20
