
duration: 20 ; psi_bar: 30 ; spd: 0
time: 0 ; d_psi: 121 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 500 ; d_psi: 88 ; rpm_l: 5025 ; rpm_r: -5850 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 1006 ; d_psi: 117 ; rpm_l: 2850 ; rpm_r: -3480 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 1510 ; d_psi: 121 ; rpm_l: 120 ; rpm_r: -180 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 2012 ; d_psi: 121 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 2514 ; d_psi: 120 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 3018 ; d_psi: 120 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 3524 ; d_psi: 121 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 4025 ; d_psi: 122 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 4530 ; d_psi: 122 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 5035 ; d_psi: 121 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 5537 ; d_psi: 121 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 6061 ; d_psi: 120 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 6572 ; d_psi: 122 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 7122 ; d_psi: 123 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 7676 ; d_psi: 123 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 8181 ; d_psi: 102 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 8710 ; d_psi: 91 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 9219 ; d_psi: 55 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 9787 ; d_psi: 25 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 10287 ; d_psi: 21 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 10793 ; d_psi: -5 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 11297 ; d_psi: 1 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 11800 ; d_psi: -20 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 12307 ; d_psi: 12 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 12847 ; d_psi: -34 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 13350 ; d_psi: -26 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 13856 ; d_psi: -24 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 14359 ; d_psi: -11 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 14923 ; d_psi: -14 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 15424 ; d_psi: -4 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
time: 15932 ; d_psi: -22 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 0 ; rpm_rb: 0 ; th_l: 20 ; th_r: 22
